Código del bien o servicio;Descripción del bien o servicio;Impuesto
3533200010100;Ceras artificiales y preparadas de polioxietileno para recubrimientos de frutas y demás vegetales;13%
3533200010200;Ceras artificiales y preparadas de polioxietileno para elaborar medicamentos de uso veterinario;13%
3533200019900;Ceras artificiales y preparadas de polioxietileno, n.c.p.;13%
3533200990100;Ceras artificiales y preparadas de lignito modificado químicamente;13%
3533200990200;Ceras artificiales y preparadas para recubrimiento y preservación, de frutas y demás vegetales;13%
3533200999900;Ceras artificiales y preparadas, n.c.p.;13%
3533301000000;Betunes, cremas y preparaciones similares para el calzado o para cueros y piles;13%
3533302000000;Encáusticos y preparaciones similares para la conservación de muebles, parqués y otros productos de madera;13%
3533303000000;Abrillantadores (lustres) y preparaciones similares para carrocerías, excepto las preparaciones para lustrar metal;13%
3533304000000;Preparaciones para lustrar metal;13%
3533305000000;Ceras con disolventes o emulsionadas, sin adición de ninguna otra materia;13%
3533399000000;Betunes, lustres y cremas para pisos, vidrio y otros, n.c.p.;13%
3533401000000;Esponjas (poliéster), con abrasivos para fregar, lavar y limpiar;13%
3533499000000;Pastas y polvos abrasivos y otras preparaciones abrasivas, n.c.p.;13%
3541001010000;Aceites esenciales de naranja;13%
3541001020000;Aceites esenciales de limón;13%
3541001030000;Aceites esenciales de bergamota;13%
3541001040000;Aceites esenciales de lima;13%
3541001990000;Aceites esenciales de agrios (cítricos), n.c.p.;13%
3541002010000;Aceites esenciales de menta;13%
3541002020000;Aceites esenciales de geranio;13%
3541002030000;Aceites esenciales de jazmín;13%
3541002040000;Aceites esenciales de lavanda (espliego) o de lavandín;13%
3541002050000;Aceites esenciales de espicanardo (vitiver);13%
3541002060000;Aceites esenciales de laurel;13%
3541002990000;Aceites esenciales, n.c.p.;13%
3541003000000;Resinoides;13%
3541004000000;"Oleorresinas de extracción; disoluciones concentradas de aceites esenciales en grases, aceites fijos, ceras o materias análogas, obtenidas por enflorado o macera";13%
3541005010000;Mezclas de sustancias odoríferas y mezclas (incluso las disoluciones alcohólicas) a base de una o varias de estas sustancias, utilizada en la industria de alimentos;13%
3541005020000;Mezclas de sustancias odoríferas y mezclas (incluso las disoluciones alcohólicas) a base de una o varias de estas sustancias, utilizada en la industria de bebidas;13%
3541005030000;Mezclas de sustancias odoríferas y mezclas (incluso las disoluciones alcohólicas) a base de una o varias de estas sustancias, utilizada en la industria de tabaco;13%
3541005040000;Mezclas de sustancias odoríferas y mezclas (incluso las disoluciones alcohólicas) a base de una o varias de estas sustancias, utilizada en la industria de preparaciones de higiene bucal o dental;13%
3541005990100;Mezclas de aceites esenciales de especies naturales;13%
3541005999900;Mezclas de sustancias odoríferas y mezclas (incluso las disoluciones alcohólicas) a base de una o varias de estas sustancias, n.c.p.;13%
3542001010000;Colas (pegamento) de caseína;13%
3542001990000;Caseínatos y demás derivados de la caseína;13%
3542002010100;Lactoalbúmina (incluidos los concentrados de dos o más proteínas del lactosuero), para la elaboración de medicamentos de uso veterinario;13%
3542002019900;Lactoalbúmina (incluidos los concentrados de dos o más proteínas del lactosuero), n.c.p.;13%
3542002990100;Albuminados y demás derivados de las albúminas (excepto ovoalbúmina y lactoalbúmina), para la elaboración de medicamentos de uso veterinario;13%
3542002999900;Albuminados y demás derivados de las albúminas, n.c.p.;13%
3542003000100;Gelatinas y sus derivados, para la elaboración de medicamentos de uso veterinario;13%
3542003009900;Gelatinas y sus derivados, n.c.p.;13%
3542004000100;Ctiocola y las demás colas de origen animal (excepto las colas de caseína), para la elaboración de medicamentos de uso veterinario;13%
3542004009900;Ctiocola y las demás colas de origen animal (excepto las colas de caseína), n.c.p.;13%
3542005000100;Peptonas y sus derivados, para uso agrícola;13%
3542005009900;Peptonas y sus derivados, n.c.p.;13%
3542006000100;Colas a base de almidón, fécula, dextrina o demás almidones o féculas modificados, utilizadas en la fabricación de cajas de uso agropecuario;13%
3542006009900;Colas a base de almidón, fécula, dextrina o demás almidones o féculas modificados, n.c.p.;13%
3542099010000;Goma de uso escolar con contenido neto menor de 250 cc (excepto los preparados a base de caucho);1%
3542099020000;Adhesivos a base de polímeros de etileno en formas primarias y polímeros naturales;13%
3542099990000;Colas y demás adhesivos preparados, n.c.p.;13%
3543001010100;Preparaciones lubricantes, con contenido de aceites de petróleo o de mineral bituminoso, para el tratamiento de materias textiles, cueros y pieles, peletería u otras materias;13%
3543001019900;Preparaciones lubricantes y las utilizadas para el tratamiento de materiales con aceite o grasa, con contenido de aceites de petróleo o de mineral bituminoso, n.c.p.;13%
3543001020000;Preparaciones lubricantes y las utilizadas para el tratamiento de materiales con aceite o grasa, a base de dietanolamidas y aceites oxidados o sulfonados, para el aceitado o engrasado de cueros;13%
3543001990100;Preparaciones lubricantes y las utilizadas para el tratamiento de materiales con aceite o grasa, para el tratamiento de materias textiles, cueros y pieles, peletería u otras materias, n.c.p.;13%
3543001990200;Preparaciones lubricantes y las utilizadas para remover y estabilizar herrumbre;13%
3543001999900;Preparaciones lubricantes y las utilizadas para el tratamiento de materiales con aceite o grasa, n.c.p.;13%
3543002010100;Preparaciones antidetonantes a base de compuestos de plomo;13%
3543002019900;Preparaciones antidetonantes, n.c.p.;13%
3543002020100;Aditivos para aceites lubricantes, con contenido de petróleo o de mineral bituminoso;13%
3543002029900;Aditivos para aceites lubricantes, n.c.p.;13%
3543002990000;Inhibidores de oxidación, aditivos peptizantes, mejoradores de viscosidad, anticorrosivos y demás aditivos preparados para aceites minerales (incluso la gasolina) u otros líquidos utilizados para los mismos fines que los aceites minerales, n.c.p.;13%
3543003000000;Líquidos para frenos hidráulicos y demás líquidos preparados para transmisiones hidráulicas, sin aceites de petróleo ni de mineral bituminoso;13%
3543004010000;Enfriador de radiadores;13%
3543004990000;Preparaciones anticongelantes y líquidos preparados para descongelar, n.c.p.;13%
3544001010000;Plastilina acondicionada para entretenimiento de niños;1%
3544001020100;Cera para odontología;Exento
3544001020200;Modelina, de uso odontológico;Exento
3544001020300;Alginatos, de uso odontológico;Exento
3544001020400;Acrílicos líquidos o en polvo, de uso odontológico;Exento
3544001029900;Pastas para moldear y compuestos de impresión, de uso odontológico, n.c.p.;Exento
3544001990000;Pastas para moldear, n.c.p.;13%
3544002000000;Preparaciones para uso odontológico a base de yeso, n.c.p.;Exento
3544003000000;Preparados, cargas, granadas y bombas para extinción de incendios;13%
3544004000100;Medios de cultivo preparados para el desarrollo o mantenimiento de microorganismos (incluso los virus y organismos similares);13%
3544004000200;Medios de cultivo preparados para el desarrollo o mantenimiento de células vegetales, humanas o animales;13%
3544005010000;Cinta indicadora de procesos de esterilización por gas o vapor;Exento
3544005020100;Esporas de bacterias para validación de procesos de esterilización;Exento
3544005029900;Indicadores biológicos de esterilización, n.c.p.;Exento
3544005990000;Materiales de referencia certificados, n.c.p.;13%
3544099010100;Compuesto de diagnóstico o reactivos de laboratorio, para preñez o celo, de uso veterinario (excepto los concebidos para usar en el paciente);13%
3544099010200;Compuesto de diagnóstico o reactivos de laboratorio, para cetosis y urea, de uso veterinario (excepto los concebidos para usar en el paciente);13%
3544099010300;Compuesto de diagnóstico o reactivos de laboratorio, para detección de semen, de uso veterinario (excepto los concebidos para usar en el paciente);13%
3544099019900;Compuesto de diagnóstico o reactivos de laboratorio, de uso veterinario, n.c.p.;13%
3544099990100;Prueba de embarazo;Exento
3544099990200;Prueba para ovulación;Exento
3544099990300;Reactivo para diagnóstico in vitro;Exento
3544099999900;Compuesto de diagnóstico o reactivos de laboratorio, n.c.p.;13%
3545001010000;Pólvora;13%
3545001990100;Explosivos preparados a base de nitrato de amonio;13%
3545001990200;Explosivos preparados de alta potencia;13%
3545001999900;Explosivos preparados, n.c.p.;13%
3545002000000;Mechas de seguridad, mechas detonantes, cebos de percusión o fulminantes, inflamadores y detonadores eléctricos;13%
3546000000100;Artículos para fuegos artificiales;13%
3546000009900;Cohetes de seales o granífugos y similares, petardos y demás artículos de pirotecnia;13%
3547000000100;Elementos químicos dopados, para uso en electrónica en discos, obleas o formas análogas;13%
3547000000200;Compuestos químicos dopados, para uso en electrónica;13%
3549100000000;Biodiésel;13%
3549901000100;Carbón activado, para uso agrícola;13%
3549901000200;Carbón activado, para elaborar medicamentos de uso veterinario;13%
3549901009900;Carbón activado n.c.p.;13%
3549902010000;Aprestos y productos de acabado, aceleradores de tintura o de fijación de materias colorantes, a base de materias amiláceas;13%
3549902990100;Aprestos y productos de acabado, aceleradores de tintura o de fijación de materias colorantes, para la industria textil o similares;13%
3549902990200;Aprestos y productos de acabado, aceleradores de tintura o de fijación de materias colorantes, para la industria del papel o similares;13%
3549902990300;Aprestos y productos de acabado, aceleradores de tintura o de fijación de materias colorantes, para la industria del cuero o similares;13%
3549903010000;Preparaciones para el decapado de metal;13%
3549903020000;Flujos y demás preparaciones auxiliares para soldar metal;13%
3549903030000;Pastas y polvos para soldar, constituidos por metal y otros productos;13%
3549903040000;Preparaciones del tipo de las utilizadas para recubrir o rellenar electrodos o varillas de soldadura;13%
3549904010000;Aceleradores de vulcanización preparados;13%
3549904020000;Plastificantes compuestos para caucho o plástico, n.c.p.;13%
3549904030100;Estabilizantes a base de sales orgánicas de metales pesados, para poli(cloruro de vinilo);13%
3549904039900;Preparaciones antioxidantes y demás estabilizantes compuestos para caucho o plástico, n.c.p.;13%
3549905010100;Catalizadores sobre soporte con níquel o sus compuestos como sustancia activa;13%
3549905010200;Catalizadores sobre soporte con metal precioso o sus compuestos como sustancia activa;13%
3549905019900;Catalizadores sobre soporte, n.c.p.;13%
3549905990100;Catalizadores a base de peróxido de metiletilcetona o de compuestos de cobalto orgánico;13%
3549905999900;Iniciadores y aceleradores de reacción y preparaciones catalíticas, n.c.p.;13%
3549906010000;Mezclas de alquilbencenos, excepto aceites y demás productos de la destilación de los alquitranes de hulla de alta temperatura o productos análogos en los que predominen los constituyentes aromáticos e hidrocarburos cíclicos;13%
3549906020000;Mezclas de alquilnaftalenos, excepto aceites y demás productos de la destilación de los alquitranes de hulla de alta temperatura o productos análogos en los que predominen los constituyentes aromáticos e hidrocarburos cíclicos;13%
3549999010100;Preparaciones aglutinantes para moldes o núcleos de fundición a base de productos resinosos naturales;13%
3549999019900;Preparaciones aglutinantes para moldes o núcleos de fundición, n.c.p.;13%
3549999020000;Carburos metálicos sin aglomerar mezclados entre sí o con aglutinantes metálicos;13%
3549999030000;Aditivos preparados para cementos, morteros u hormigones;13%
3549999040000;Sorbitol, excepto D-glucitos;13%
3549999050000;Mezclas que contengan derivados halogenados de metano, etano o propano;13%
3549999060100;Preparaciones a base de productos inorgánicos, incluidas las mezclas de microelementos, de uso agrícola;13%
3549999069900;Preparaciones a base de productos inorgánicos, incluidas las mezclas de microelementos, n.c.p.;13%
3549999070000;Preparaciones para caucho o plástico, n.c.p.;13%
3549999080000;Gelificantes, endurecedores, agentes antipiel y demás preparaciones, para pinturas y barnices, n.c.p.;13%
3549999090000;Preparaciones de los tipos utilizados en la fabricación de tintas y demás preparaciones empleadas en artes gráficas, n.c.p.;13%
3549999100000;Aditivos y demás preparaciones para baño electrolítico en el proceso de electrodeposición sobre lámina metálica;13%
3549999110000;Mezclas de ácidos alquilarilsulfónicos y sus derivados, insolubles en agua;13%
3549999120000;Fluidos a base de difenilo para su utilización como refrigerante;13%
3549999130000;Artículos químicos de luminiscencia para señalización o seguridad;13%
3549999140000;Ácidos nafténicos, sus sales insolubles en agua y sus ésteres;13%
3549999150100;Preparaciones químicas a base de complejo de manganeso etilenbisditiocarbamato con el ión cinc, con una concentración superior o igual a 85%, de uso agrícola;13%
3549999159900;Preparaciones químicas a base de complejo de manganeso etilenbisditiocarbamato con el ión cinc, con una concentración superior o igual a 85%, n.c.p.;13%
3549999990100;Pasta para descornar;13%
3549999990200;"Corrector barniz para ""stencils""";13%
3549999990300;Antioxidantes (para grasas y aceites comestibles);13%
3549999990400;Productos de uso post-cosecha (p.e. alimentos para flores cortadas);13%
3549999990500;Preparación química elaborada con agua destilada, glicerina vegetal pura, propi­lenglicol, saborizante, nicotina, u otros, para recargar cartuchos de cigarrillos electrónicos;13%
3549999990600;Coadyuvantes, de uso agrícola;13%
3549999999900;"Preparaciones aglutinantes para moldes o núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), n.c.p.";13%
3551000010100;Cables de filamentos, de nailon o demás poliamidas;13%
3551000010200;Cables de filamentos, de poliésteres;13%
3551000010300;Cables de filamentos acrílicos o modacrílicos;13%
3551000010400;Cables de filamentos, de polipropileno;13%
3551000019900;Cables de filamentos sintéticos, n.c.p.;13%
3551000020100;Fibras de nailon o demás poliamidas discontinuas, sin cardar, peinar ni transformar de otro modo para la hilatura;13%
